city,district,front,size,property_age,bedrooms,bathrooms,livingrooms,kitchen,garage,driver_room,maid_room,furnished,ac,roof,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
 الرياض,   حي النرجس ,شمال,336,0,5,5,2,1,1,1,1,0,1,0,1,1,0,0,0,1,0,140000
 الرياض,   حي العارض ,شرق,325,7,5,5,4,1,1,0,1,0,1,1,0,1,0,0,1,0,0,90000
 الرياض,   حي المونسية ,جنوب,325,2,4,4,2,0,1,1,1,0,0,1,0,0,0,0,1,0,0,50000
 الرياض,   حي الياسمين ,شمال,312,9,6,5,2,1,1,0,0,0,1,0,0,1,0,0,1,0,0,85000
 الرياض,   حي ظهرة لبن ,شمال غربي,500,8,7,5,1,1,1,1,1,0,1,0,0,1,0,0,1,0,1,50000
 الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
 الرياض,   حي الروضة ,جنوب,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000
 الرياض,   حي النرجس ,شمال شرقي,450,0,5,4,3,1,1,1,0,0,1,1,0,1,1,0,1,0,0,110000
 الرياض,   حي العقيق ,شمال,600,4,5,5,3,1,1,1,1,0,1,1,0,1,0,0,0,0,0,180000
 الرياض,   حي العليا ,شمال,500,27,5,5,2,1,1,0,0,0,0,1,0,1,0,0,0,0,0,115000
 الرياض,   حي عكاظ ,شرق,360,0,6,3,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000
 الرياض,   حي الورود ,غرب,400,10,3,4,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,80000
 الرياض,   حي النرجس ,شمال شرقي,450,0,5,5,3,1,1,1,1,0,1,1,0,1,0,0,1,0,0,110000
 الرياض,   حي المونسية ,شرق,200,2,7,5,2,1,1,0,1,0,0,0,0,0,0,1,1,0,0,65000
 الرياض,   حي الروضة ,جنوب,352,30,7,5,2,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000
 الرياض,   حي الملقا ,جنوب,200,3,5,5,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,85000
 الرياض,   حي العارض ,شرق,375,0,4,5,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,110000
 الرياض,   حي الفيحاء ,شمال غربي,650,5,7,5,3,1,1,0,1,0,1,1,1,1,1,0,1,0,1,120000
 الرياض,   حي النموذجية ,شمال شرقي,900,4,5,5,5,1,1,1,1,0,0,1,1,1,0,0,1,0,0,300000
 الرياض,   حي المونسية ,جنوب,360,2,4,3,1,1,1,1,0,0,0,1,0,1,0,0,1,0,0,55000
 الرياض,   حي الربوة ,غرب,330,10,5,5,2,1,0,1,1,0,1,0,0,1,0,0,1,0,0,79000
 الرياض,   حي القيروان ,شرق,500,0,5,4,2,1,1,0,1,0,0,0,0,1,0,0,1,0,0,35000
 الرياض,   حي العارض ,شمال,250,0,5,5,1,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
